Team 1,Team 2,Winner,Team 1 points,Team 2 points
Bengal Warriors,Dabang Delhi K.C.,,,
Bengal Warriors,Patna Pirates,,,
Bengal Warriors,Tamil Thalaivas,,,
Bengal Warriors,Puneri Paltan,Bengal Warriors,43,23
Bengal Warriors,U Mumba,Bengal Warriors,32,30
Bengal Warriors,Telugu Titans,Draw,29,29
Bengal Warriors,Dabang Delhi K.C.,Draw,30,30
Bengal Warriors,Patna Pirates,Bengal Warriors,35,26
Bengal Warriors,Haryana Steelers,Haryana Steelers,33,36
Bengal Warriors,Tamil Thalaivas,Bengal Warriors,35,26
Bengal Warriors,Gujarat Fortune Giants,Draw,25,25
Bengal Warriors,Puneri Paltan,Bengal Warriors,42,39
Bengal Warriors,U Mumba,Bengal Warriors,29,26
Bengal Warriors,Haryana Steelers,Bengal Warriors,48,36
Bengal Warriors,Gujarat Fortune Giants,Bengal Warriors,28,26
Bengal Warriors,Jaipur Pink Panthers,Jaipur Pink Panthers,25,27
Bengal Warriors,Jaipur Pink Panthers,Bengal Warriors,41,40
Bengal Warriors,Telugu Titans,Bengal Warriors,40,39
Bengal Warriors,U.P. Yoddha,Bengal Warriors,48,17
Bengal Warriors,U.P. Yoddha,U.P. Yoddha,29,32
Bengal Warriors,Bengaluru Bulls,Bengaluru Bulls,42,43
Bengal Warriors,Bengaluru Bulls,Bengal Warriors,42,40
Bengaluru Bulls,Patna Pirates,Bengaluru Bulls,34,32
Bengaluru Bulls,Gujarat Fortune Giants,Gujarat Fortune Giants,24,42
Bengaluru Bulls,Haryana Steelers,Haryana Steelers,30,33
Bengaluru Bulls,Gujarat Fortune Giants,Gujarat Fortune Giants,23,32
Bengaluru Bulls,Tamil Thalaivas,Bengaluru Bulls,33,27
Bengaluru Bulls,Patna Pirates,Bengaluru Bulls,40,39
Bengaluru Bulls,Telugu Titans,Bengaluru Bulls,40,39
Bengaluru Bulls,Dabang Delhi K.C.,Dabang Delhi K.C.,31,33
Bengaluru Bulls,Dabang Delhi K.C.,Draw,39,39
Bengaluru Bulls,Haryana Steelers,,,
Bengaluru Bulls,Jaipur Pink Panthers,Bengaluru Bulls,41,30
Bengaluru Bulls,Jaipur Pink Panthers,,,
Bengaluru Bulls,Puneri Paltan,Puneri Paltan,23,31
Bengaluru Bulls,Puneri Paltan,Puneri Paltan,38,42
Bengaluru Bulls,Tamil Thalaivas,Bengaluru Bulls,32,21
Bengaluru Bulls,Telugu Titans,Bengaluru Bulls,47,26
Bengaluru Bulls,U Mumba,,,
Bengaluru Bulls,U Mumba,Bengaluru Bulls,30,26
Bengaluru Bulls,U.P. Yoddha,,,
Bengaluru Bulls,U.P. Yoddha,U.P. Yoddha,33,35
Dabang Delhi K.C.,Tamil Thalaivas,Dabang Delhi K.C.,30,29
Dabang Delhi K.C.,Haryana Steelers,Dabang Delhi K.C.,41,21
Dabang Delhi K.C.,Jaipur Pink Panthers,Dabang Delhi K.C.,35,24
Dabang Delhi K.C.,U.P. Yoddha,Dabang Delhi K.C.,36,27
Dabang Delhi K.C.,U Mumba,Dabang Delhi K.C.,40,24
Dabang Delhi K.C.,Patna Pirates,Dabang Delhi K.C.,38,35
Dabang Delhi K.C.,Haryana Steelers,Haryana Steelers,25,47
Dabang Delhi K.C.,Tamil Thalaivas,Dabang Delhi K.C.,50,34
Dabang Delhi K.C.,Gujarat Fortune Giants,Dabang Delhi K.C.,34,30
Dabang Delhi K.C.,U Mumba,,,
Gujarat Fortune Giants,Dabang Delhi K.C.,Gujarat Fortune Giants,31,26
Gujarat Fortune Giants,Puneri Paltan,Puneri Paltan,31,33
Gujarat Fortune Giants,Tamil Thalaivas,Tamil Thalaivas,28,34
Gujarat Fortune Giants,Telugu Titans,Telugu Titans,24,30
Gujarat Fortune Giants,Jaipur Pink Panthers,Jaipur Pink Panthers,19,22
Gujarat Fortune Giants,Patna Pirates,Gujarat Fortune Giants,29,26
Gujarat Fortune Giants,Haryana Steelers,Haryana Steelers,24,41
Gujarat Fortune Giants,Tamil Thalaivas,,,
Gujarat Fortune Giants,Patna Pirates,,,
Haryana Steelers,U.P. Yoddha,,,
Haryana Steelers,Gujarat Fortune Giants,,,
Haryana Steelers,Telugu Titans,,,
Haryana Steelers,Jaipur Pink Panthers,Jaipur Pink Panthers,21,37
Haryana Steelers,Tamil Thalaivas,Tamil Thalaivas,28,35
Haryana Steelers,Telugu Titans,Telugu Titans,29,40
Haryana Steelers,Jaipur Pink Panthers,Draw,32,32
Jaipur Pink Panthers,Puneri Paltan,Jaipur Pink Panthers,33,25
Jaipur Pink Panthers,Telugu Titans,Telugu Titans,21,24
Jaipur Pink Panthers,Dabang Delhi K.C.,Dabang Delhi K.C.,44,46
Jaipur Pink Panthers,Patna Pirates,Patna Pirates,33,36
Jaipur Pink Panthers,U.P. Yoddha,U.P. Yoddha,32,38
Jaipur Pink Panthers,Gujarat Fortune Giants,Draw,28,28
Jaipur Pink Panthers,Puneri Paltan,Jaipur Pink Panthers,43,34
Jaipur Pink Panthers,Telugu Titans,,,
Patna Pirates,Dabang Delhi K.C.,Patna Pirates,27,23
Patna Pirates,Jaipur Pink Panthers,Jaipur Pink Panthers,21,34
